obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
010119Lab,D. mer,p-sp,1116:00:00,03:20:00,5,0,0,0,0,,2,DRH,Unknown,Dp-sp
010119Lab,D. mer,rg-s,1127:00:00,01:00:00,0,0,0,0,0,,0,DRH,Female,Drg-s
010122Tit,G. sal,s-yp,1026:00:00,02:10:00,2,0,0,0,0,,1,DRH,Male,Gs-yp
010123Lab,Phleg,so-b,948:00:00,01:10:00,1,0,0,0,0,,1,DRH,Unknown,Pso-b
010123Lab,Phleg,so-b,1023:00:00,04:00:00,4,0,0,0,0,,3,DRH,Unknown,Pso-b
010123Lab,M. fort,unb,1035:00:00,02:50:00,2,0,0,0,0,,2,DRH,Male,Munb
010123Lab,M. fort,ff-s,1045:00:00,01:50:00,0,0,0,0,0,,0,DRH,Female,Mff-s
010123Lab,Phleg,o-sr,1053:00:00,03:40:00,3,0,0,1,0,juv,3,DRH,Unknown,Po-sr
010123Lab,M. fort,unb,1112:00:00,01:20:00,0,0,0,0,0,,0,DRH,Male,Munb
010123Lab,Phleg,o-sr,1143:00:00,01:40:00,2,0,0,0,0,juv,1,DRH,Unknown,Po-sr
010123Lab,Phleg,so-b,1146:00:00,03:40:00,2,0,0,0,0,,0,DRH,Unknown,Pso-b
010124Tit,D. mer,s-wb,947:00:00,03:50:00,3,0,0,0,0,,2,DRH,Female,Ds-wb
010124Tit,M. fort,r-sg,1000:00:00,01:30:00,4,0,0,0,0,,4,DRH,Male,Mr-sg
010124Tit,M. fort,unb,1049:00:00,01:15:00,0,0,0,0,0,,0,DRH,Female,Munb
010124Tit,G. sal,unb,1109:00:00,01:20:00,0,0,0,0,0,,0,DRH,Female,Gunb
010124Izu,D. mer,s-wb,1208:00:00,02:00:00,1,0,0,0,0,,1,DRH,Female,Ds-wb
010124Izu,Phleg,wo-s,1214:00:00,01:50:00,0,0,0,0,0,,0,DRH,Female,Pwo-s
010124Izu,D. mer,s-wb,1228:00:00,04:00:00,2,0,0,0,0,,1,DRH,Female,Ds-wb
010124Izu,Phleg,unb,1232:00:00,03:30:00,2,0,0,0,0,,1,DRH,Unknown,Punb
010125Tit,G. sal,pp-s,743:00:00,02:10:00,1,0,0,0,0,,1,DRH,Male,Gpp-s
010125Tit,Phleg,unb,846:00:00,02:10:00,1,0,0,0,0,,1,DRH,Unknown,Punb
010125Tit,G. sal,pp-s,855:00:00,02:40:00,1,0,0,0,0,,1,DRH,Male,Gpp-s
010126Izu,M. fort,unb,730:00:00,01:50:00,4,0,0,0,0,,2,DRH,Female,Munb
010126Izu,D. mer,ps-x,750:00:00,01:10:00,0,0,1,0,0,begging kid,0,DRH,Female,Dps-x
010126Izu,M. fort,unb,812:00:00,01:00:00,3,0,0,0,0,,2,DRH,Female,Munb
010126Izu,D. mer,ps-x,816:00:00,04:00:00,2,0,0,0,0,,2,DRH,Female,Dps-x
010126Izu,D. mer,s-yb,826:00:00,02:30:00,1,0,0,0,0,,1,DRH,Unknown,Ds-yb
010126Izu,D. mer,ps-x,830:00:00,04:00:00,3,0,0,0,0,,2,DRH,Female,Dps-x
010126Izu,Phleg,unb,838:00:00,02:10:00,0,0,0,0,0,,0,DRH,Unknown,Punb
010123Lab,Rheg,y-sy,829:00:00,02:00:00,1,0,2,0,0,dad by-s,1,SKW,Unknown,Ry-sy
010123Lab,G. sal,unb,905:00:00,02:20:00,1,0,0,0,0,,1,SKW,Male,Gunb
010124Tit,Rheg,unb,1056:00:00,04:00:00,0,0,0,0,0,,0,SKW,Male,Runb
010126Izu,D. mer,rg-s,907:00:00,04:00:00,5,0,1,0,0,,4,SKW,Female,Drg-s
010126Izu,D. mer,ps-x,926:00:00,04:00:00,1,0,1,0,0,D.mer rg-s,1,SKW,Female,Dps-x
010126Izu,D. mer,unb,955:00:00,03:00:00,0,0,0,0,0,"juv, poked mom",0,SKW,Unknown,Dunb
010126Izu,D. mer,rg-s,1010:00:00,04:00:00,0,0,1,0,0,p-sp kid chasing her,0,SKW,Female,Drg-s
010129Izu,G. sal,ns,720:00:00,04:00:00,0,0,0,0,0,,0,SKW,Male,Gns
010129Izu,D. mer,p-sp,745:00:00,02:00:00,4,0,0,0,0,juv ,0,SKW,Unknown,Dp-sp
010129Izu,D. mer,unb,750:00:00,04:00:00,1,0,0,0,0,juv of ps-x,0,SKW,Unknown,Dunb
010129Izu,D. mer,unb,815:00:00,03:10:00,2,0,0,0,0,juv,2,SKW,Unknown,Dunb
010127Lab,D. mer,unb,1024:00:00,01:30:00,0,0,0,0,0,juv,0,CETP,Unknown,Dunb
010127Lab,D. mer,unb,1046:00:00,05:00:00,3,0,0,0,0,juv,0,CETP,Unknown,Dunb
010129Izu,Rheg,r-sy,805:00:00,04:20:00,4,0,0,0,0,juv,0,CETP,Unknown,Rr-sy
010129Izu,D. mer,unb,829:00:00,05:00:00,0,0,0,0,0,juv,0,CETP,Unknown,Dunb
010129Izu,D. mer,ps-x,708:00:00,05:00:00,0,0,0,0,0,sat on trunk,0,CETP,Female,Dps-x
010129Izu,Rheg,y-sy,749:00:00,01:00:00,1,0,0,0,0,juv,0,CETP,Unknown,Ry-sy
010129Izu,M. fort,s-yr,740:00:00,04:45:00,1,0,0,0,0,,0,CETP,Male,Ms-yr
010129Izu,D. mer,rg-s,800:00:00,04:45:00,0,0,0,0,0,,0,CETP,Female,Drg-s
010129Izu,D. mer,rg-s,919:00:00,01:30:00,1,0,0,0,1,,1,CETP,Female,Drg-s
010129Izu,G. sal,s-yp,916:00:00,01:30:00,1,0,0,0,0,,0,CETP,Female,Gs-yp
010130Stu,D. mer,wp-s,732:00:00,02:00:00,1,0,0,0,0,fed juv cicada,1,CETP,Female,Dwp-s
010130Stu,D. mer,unb,724:00:00,01:00:00,0,0,0,0,0,juv,0,CETP,Unknown,Dunb
010131Stu,D. mer,unb,736:00:00,02:45:00,3,0,0,0,0,"juv, finished item, was begged by other juv",0,CETP,Unknown,Dunb
010131Stu,D. mer,wp-s,732:00:00,01:10:00,0,0,0,0,0,,0,CETP,Female,Dwp-s
010131Stu,Phleg,b-rs,818:00:00,05:00:00,3,0,0,0,0,,0,CETP,Unknown,Pb-rs
010131Let,G. sal,bw-s,855:00:00,04:00:00,6,0,0,0,0,,4,SKW,Female,Gbw-s
010131Let,Phleg,fs-fg,907:00:00,04:00:00,5,0,0,0,0,,2,SKW,Male,Pfs-fg
010201Stua,M. fort,r-sg,855:00:00,02:20:00,2,0,0,0,0,,1,DRH,Male,Mr-sg
010201Stua,Phleg,ro-s,930:00:00,04:00:00,0,0,0,0,0,preening,0,DRH,Male,Pro-s
010201Stub,D. mer,unb,1024:00:00,04:00:00,0,0,0,0,0,,0,DRH,Unknown,Dunb
010202Stua,G. sal,y-sb,817:00:00,02:00:00,0,0,0,0,0,,0,DRH,Female,Gy-sb
010203Izua,D. mer,r-sg,739:00:00,04:00:00,0,0,0,0,0,,0,DRH,Unknown,Dr-sg
010203Izua,Rheg,gp-s,749:00:00,02:20:00,8,0,0,0,0,,6,DRH,Female,Rgp-s
010203Izua,M. fort,ry-s,824:00:00,04:00:00,2,0,0,0,0,,2,DRH,Female,Mry-s
010203Izua,Rheg,unb,829:00:00,04:00:00,5,0,0,0,1, r-sy juv,4,DRH,Male,Runb
