,obsid,species,duration,duration_seconds,attempts,Rinter,Rintra,Iinter,Iintra,Successes,Ind_Rinter,Ind_Rintra,Ind_Iinter,Ind_Iintra,Ind_Successes
733,070524LabbieAM,Phleg,2:11:00,7860,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
734,070524KathyAM,Phleg,0:40:00,2400,0,0,1,0,1,0,FALSE,TRUE,FALSE,TRUE,FALSE
735,070524KathyAM,Phleg,2:00:00,7200,4,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
736,070524KathyPM,Phleg,1:25:00,5100,3,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
737,070524KathyPM,Phleg,4:43:00,16980,15,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
738,070524KathyPM,Phleg,1:23:00,4980,2,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
739,070524KathyPM,Phleg,1:30:00,5400,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
740,070524KathyPM,Phleg,2:09:00,7740,4,0,2,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
741,070524KathyPM,Phleg,0:57:00,3420,3,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
742,070524KathyPM,Phleg,1:43:00,6180,5,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
743,070524KathyPM,Phleg,2:49:00,10140,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
744,070524KathyPM,Phleg,2:25:00,8700,5,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
745,070524KathyPM,Phleg,2:53:00,10380,6,0,1,0,2,0,FALSE,TRUE,FALSE,TRUE,FALSE
746,070524KathyPM,Phleg,2:17:00,8220,6,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
747,070524KathyPM,Phleg,6:32:00,23520,13,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,TRUE
748,070524KathyPM,Phleg,2:25:00,8700,2,0,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE
749,070524KathyPM,Phleg,1:53:00,6780,5,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
750,070526KathyAM,Phleg,1:00:00,3600,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
751,070526KathyAM,Phleg,1:10:00,4200,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
752,070526KathyAM,Phleg,1:02:00,3720,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
753,070531KathyAM,Phleg,3:47:00,13620,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
754,070531KathyAM,Phleg,3:35:00,12900,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
